96935	
	(-0.0001367305649,-3.446077725e-005)	(0.0001426689394,-5.396892923e-005)	(-7.4720922e-005,-0.0001318165938)	(7.321038386e-005,-0.0001075856867)	(-0.0001248822294,-8.59699033e-005)
	(5.162154385e-005,-7.134222747e-005)	(-0.0001136408579,-3.670660774e-005)	(0.0001897737477,-4.956869399e-005)	(-9.191060262e-005,-4.457847689e-005)	(0.0002021860651,-5.978280545e-005)
	(-7.386835349e-005,-0.0008572100957)	(-0.0001301046675,-5.429714016e-005)	(6.23956575e-005,-7.288702175e-005)	(-0.0001338065403,-4.115494845e-005)	(8.036857416e-005,-6.72035032e-005)
	(-0.000138448329,-3.185565879e-005)	(0.0001660220197,-4.467523593e-005)	(-4.619285455e-005,-0.0009121076819)	(-0.001672094136,-0.0003730217023)	(-0.0003397229059,0.001634810487)
	(-0.0008948875833,-0.0005752949461)	(-0.0004938695244,0.0007428914729)	(-0.001146347153,-0.00101378575)	(-0.0008704950198,0.0009861670567)	(-0.0001365723349,-0.0001957375284)
	(-0.0004792344739,-0.001021762035)	(-0.000830920618,0.0003041788492)	(-0.0004548498891,-0.0006509053263)	(-0.0005286114043,0.0002677175872)	(-1.701506352e-005,-0.000744354424)
	(-0.0005408526746,-0.0001921193605)	(-0.0002437448112,-0.0004059894854)	(-0.0001825222562,-0.0005168470529)	(-0.0003818023534,-1.469606685e-005)	(-2.871826556e-005,-0.000470705438)
	(-0.0002515456934,-0.0001298538762)	(-0.0001430034094,-0.0001205313494)	(1.364404116e-005,-2.699113464e-005)	(-5.069609807e-005,-0.0002668776909)	(-7.430123393e-005,-0.0001579661744)
	(-0.0001677852754,-0.0006031513703)	(-0.0001800885542,-0.0003159373059)	(-0.0001713287088,2.562945602e-006)	(-0.0001704507408,-0.0002174905204)	(-0.0001271608541,-4.250280177e-005)
	(-0.0001407841387,-2.821704122e-005)	(2.511688867e-005,-6.634514546e-005)	(-0.0001551077143,-2.574768853e-005)	(7.608507651e-005,-6.541629812e-005)	(-0.0001438796895,-2.943138191e-005)
	(7.678939132e-005,-6.564945264e-005)	(-0.0001489310923,-2.449696333e-005)	(0.0001375693839,-5.724358466e-005)	(-2.161187354e-005,-0.0009508964915)	(-0.0001488862166,-2.439931345e-005)
	(1.542854654e-005,-5.051429432e-005)	(-8.159652148e-006,-0.0008622005623)	(-0.0001546594561,-2.186241615e-005)	(-1.509626531e-005,-2.384992891e-005)	(-0.0001600468735,-1.629636075e-005)
	(-2.039942481e-005,1.468397543e-005)	(-0.0001663452051,-3.441047577e-005)	(-2.974182018e-005,-1.029097924e-005)	(-0.0001561552899,-1.359103518e-005)	(-2.333242957e-005,3.107626255e-005)
	(-0.0001540061542,-1.277969893e-005)	(-1.121407013e-005,4.251641648e-005)	(-0.0001968805123,-1.611959508e-005)	(-2.081973652e-006,8.639729512e-005)	(-0.0001691268257,-1.467821207e-005)
	(1.469713198e-005,6.778491821e-005)	(-0.0001856255922,-1.883899914e-006)	(4.437086151e-005,4.977336729e-005)	(-0.0002086824989,-1.048412554e-005)	(-1.176759982e-005,6.288242621e-005)
	(-0.0001969804137,-1.352681796e-005)	(3.571555557e-005,3.253218697e-005)	(-0.0001528736086,9.246444414e-006)	(5.372950083e-005,4.946790023e-005)	(3.390654208e-005,-0.0006464266794)
	(-0.0001564976637,-1.395185969e-005)	(6.226883179e-005,2.235600225e-005)	(-0.0002073440553,-2.737838873e-005)	(1.086819168e-005,7.3436949e-005)	(-0.0001862233853,-1.483985174e-005)
	(-5.032014915e-006,-3.598941413e-005)	(4.103857064e-006,1.801595616e-007)	(-0.0001832549935,-1.09254232e-005)	(4.957356024e-005,-1.754591524e-006)	(2.25765611e-005,-0.0003071840347)
	(-0.0001736674742,-3.996035987e-006)	(2.923703183e-005,-3.649217931e-005)	(-0.0001741576336,-9.375910702e-006)	(6.039361316e-005,-9.601141746e-006)	(-0.0001887436049,-1.220315988e-005)
	(2.623370474e-005,-3.145332592e-005)	(-0.0001725014584,-1.846107327e-005)	(-5.000610246e-006,-4.653126655e-005)	(-0.001302741811,-2.671147519e-005)	(1.646428944e-005,0.001171907023)
	(-0.002151476306,0.001534872719)	(0.001609222405,0.002178458407)	(-0.001146940828,0.0007018385785)	(0.0007598609846,0.001142374315)	(-0.001952200532,0.0006332474019)
	(0.0006848622948,0.001909536209)	(-3.401875328e-005,-0.000391991072)	(-0.001153945852,0.001509255201)	(0.001534983721,0.001228882668)	(-0.0008996744128,0.002422252189)
	(0.002484017887,0.0008956891526)	(-0.003355470656,0.0008999592683)	(0.0009942620665,0.003176752528)	(0.0002532736914,-0.000363983984)	(-0.002849371907,0.001910217163)
	(0.002042799244,0.002829605339)	(-0.006229447192,0.001454535462)	(0.001487662762,0.00623330917)	(-0.004786296961,0.002022525297)	(0.002045501162,0.004668717019)
	(-0.00432227439,0.0003838072823)	(0.0005172251467,0.004189748766)	(-0.006483926482,-3.557320618e-005)	(3.50298282e-005,0.006470237517)	(-0.005428691089,-0.0005099081139)
	(-0.0003572251517,0.005398265151)	(0.000563315629,-5.394910259e-005)	(-0.009612321131,0.0008698161943)	(0.0009370820405,0.009589203738)	(-0.007306129775,0.002283175566)
	(0.002427757217,0.007205216295)	(-0.009105160603,0.002860051351)	(0.002995361052,0.009143115073)	(-0.00769364917,0.0005732619811)	(0.0006424143831,0.00755649756)
	(0.001013691979,-0.0001490563315)	(-0.001655903479,0.003723715277)	(0.003933065809,0.001720300656)	(-0.002902891317,0.004161636268)	(0.004234952874,0.002993571595)
	(-0.003879962155,0.003376109417)	(0.003488278214,0.0038582445)	(-0.002069832223,0.002736932164)	(0.002892014415,0.002136734286)	(-0.0001362731841,-0.0006838534836)
	(-0.002248046873,0.005497096207)	(0.00562831628,0.002339886866)	(-0.0008824343798,0.00579090758)	(0.005949318926,0.001033591758)	(0.000747052954,0.004650292919)
	(0.004863240584,-0.0005955826539)	(-0.0003810673489,0.003046966805)	(0.00306762316,0.0004091884555)	(0.0005016063069,0.005810443265)	(0.005994683738,-0.0004407835462)
	(-0.0009508662474,0.004718333094)	(0.004931211236,0.001023049399)	(-0.0003230805119,-0.0009995737845)	(0.0007632204773,0.002910739868)	(0.003007354653,-0.0006049834744)
	(-0.01196759204,-0.001820840369)	(-0.001765714816,0.01230613074)	(-0.01126531494,0.00368018328)	(0.003954396091,0.01163143459)	(-0.01474460273,0.001824489233)
	(0.001873921659,0.01515445555)	(-0.01379819804,0.004789790763)	(0.005028068488,0.01421168407)	(-0.01479401972,-0.001667320822)	(-0.001622079953,0.01527375237)
	(-0.01196480375,0.001268431881)	(0.001362634401,0.01230994687)	(0.00184919233,-0.0002051512595)	(-0.008158298036,-0.009427001315)	(-0.009437228918,0.008070921979)
	(0.0009502654357,0.001728880291)	(-0.01127200852,-0.00478478013)	(-0.004837127672,0.01139880873)	(0.001647682879,0.000933168916)	(-0.01506073724,-0.01037485723)
	(-0.01104538536,0.01588720365)	(-0.009963806936,-0.007268734166)	(-0.00735160999,0.01006760364)	(-0.009776864024,-0.01171393297)	(-0.01191945739,0.01002548978)
